16,"Zedd, Alessia Cara",Stay,17,"February 23, 2017"," Electronic , Dance , Pop  ","Zedd, Linus Wiklund, Alessia Cara & 3 more","Stay Lyrics



[Verse 1]
Waiting for the time to pass you by
Hope the winds of change will change your mind
I could give a thousand reasons why
And I know you, and you've got to

[Pre-Chorus 1]
Make it on your own, but we don't have to grow up
We can stay forever young
Living on my sofa, drinking rum and cola
Underneath the rising sun
I could give a thousand reasons why
But you're going, and you know that

[Chorus]
All you have to do is stay a minute
Just take your time
The clock is ticking, so stay
All you have to do is wait a second
Your hands on mine
The clock is ticking, so stay

[Post-Chorus]
All you have to do is
All you have to do is stay

[Verse 2]
Won't admit what I already know
I've never been the best at letting go
I don't wanna spend the night alone
Guess I need you, and I need to

[Pre-Chorus 2]
Make it on my own, but I don't wanna grow up
We can stay forever young
Living on my sofa, drinking rum and cola
Underneath the rising sun
I could give a million reasons why
But you're going, and you know that

[Chorus]
All you have to do is stay a minute
Just take your time
The clock is ticking, so stay
All you have to do is wait a second
Your hands on mine
The clock is ticking, so stay

[Post-Chorus]
All you have to do is
All you have to do is stay

[Bridge]
All you have to do is stay
So stay, yeah

[Chorus]
All you have to do is stay a minute
Just take your time
The clock is ticking, so stay
All you have to do is wait a second
Your hands on mine
The clock is ticking, so stay
All you have to do is stay




"
17,"DJ Khaled, Rihanna, Bryson Tiller",Wild Thoughts,18,"June 16, 2017"," Cloud , Roc Nation , Soul , Epic Records , Pop  , Rap  , R&B  ","The Product G&B, Carlos Santana, Jerry Duplessis & 5 more","Wild Thoughts Lyrics



[Intro: DJ Khaled]
Another one
We The Best music
DJ Khaled

[Verse 1: Rihanna]
I don't know if you could take it
Know you wanna see me nakey, nakey, naked
I wanna be your baby, baby, baby
Spinning and it's wet just like it came from Maytag
White girl wasted on that brown liquor
When I get like this I can't be around you
I'm too lit to dim down a notch
'Cause I could name some thangs that I'm gon' do

[Chorus: Rihanna]
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts

[Interlude: DJ Khaled]
Let's go!

[Verse 2: Rihanna]
I hope you know I'm for the takin'
You know this cookie is for the baking (ugh)
Kitty, kitty, baby give that thing some rest
'Cause you done beat it like the '68 Jets
Diamonds ain't nothing when I'm rockin' with ya
Diamonds ain't nothing when I'm shinin' with ya
Just keep it white and black as if I'm ya sista
I'm too hip to hop around town out here with ya
I know I get

[Chorus: Rihanna]
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts

[Verse 3: Bryson Tiller]
Ayy, I heard that pussy for the taking
I heard it got these other niggas goin' crazy
Yeah I treat you like a lady, lady
Fuck you 'til you're burned out, cremation
Make it cream, yeah, Wu-Tang
Throw that ass back, bouquet
Call me and I can get it juicy
I can tell you're gone off the D'USSÉ
Careful mama watch what you say
You talking to me like ya new bae
Girl, talking like you tryna do things
Now that pipe got her running like she Usain, baby
You made me drown in it, touche, baby
I'm carrying that water, Bobby Boucher, baby
You know I'ma slaughter like I'm Jason
Bust it, why you got it on safety?
White girl wasted on brown liquor
I probably shouldn't be around you
'Cause you get wild, wild, wild
You looking like there's nothing that you won't do
Ayy, girl that's when I told you

[Chorus: Rihanna]
When I'm with you, all I get is wild thoughts
Wild, wild, wild
Wild, wild, wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts
Wild, wild, wild
When I'm with you, all I get is wild thoughts

[Outro: DJ Khaled & Rihanna]
DJ Khaled!
Wild, wild, wild
Wild, wild, wild
When I'm with you, all I get is wild thoughts




"
18,"Rae Sremmurd, Gucci Mane",Black Beatles,19,"August 12, 2016"," Interscope Records , Memes , Producer  , Trap , Atlanta , Rap  ","Mike WiLL Made-It, Gucci Mane, Slim Jxmmi & 1 more","Black Beatles Lyrics



[Intro: Swae Lee & Gucci Mane]
Black Beatles in the city
Be back immediately to confiscate the moneys
(Ear Drummers)
Rae Sremm, Guwop, Mike WiLL!
I sent flowers, but you said you didn't receive 'em
But you said you didn't need 'em (Mike WiLL!)

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinking
They lose it when the DJ drops the needle

[Verse 1: Swae Lee]
Getting so gone I'm not blinkin'
What in the world was I thinkin'?
New day, new money to be made
There is nothin' to explain
I'm a fuckin' black Beatle, cream seats in the Regal
Rockin' John Lennon lenses, like to see ‘em spread eagle
Took a bitch to the club and let her party on the table
Screamin', ""Everybody's famous!""
Like clockwork, I blow it all
And get some more
Get you somebody that can do both
Black Beatles got the babes belly rollin'
She think she love me, I think she trollin'

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle

[Verse 2: Gucci Mane]
Came in with two girls, look like strippers in their real clothes
A broke ho can only point me to a rich ho
A yellow bitch with green hair, a real weirdo
Black man, yellow Lamb', red light go
They seen that Guwop and them just came in through the side door
There's so much money on the floor we buyin' school clothes
Why you bring the money machine to the club for?
Pint of lean, pound of weed, and a kilo
I Eurostep past a hater like I'm Rondo
I upgrade your baby mama to a condo
Like Chapo servin' yayo to the gringos
Black Beatle, club close when I say so

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle

[Verse 3: Slim Jxmmi]
She's a good teaser, and we blowin' reefer
Your body like a work of art, baby
Don't fuck with me, I'll break your heart, baby
D&G on me, I got a lot of flavor
15 hundred on my feet, I'm tryna kill these haters
I had haters when I was broke, I'm rich, I still got haters
I had hoes when I was broke, I'm rich, I'm still a player
I wear leather Gucci jackets like it's still the 80s
I've been blowin' OG Kush, I feel a lil' sedated
I can't worry about a broke nigga or a hater
Black Beatle, bitch, me and Paul McCartney related

[Chorus: Swae Lee]
That girl is a real crowd pleaser
Small world, all her friends know of me
Young bull livin' like an old geezer
Quick release the cash, watch it fall slowly
Frat girls still tryna get even
Haters mad for whatever reason
Smoke in the air, binge drinkin'
They lose it when the DJ drops the needle




"
19,"The Weeknd, Daft Punk",Starboy,20,"September 22, 2016"," House , R&B  , Electro-Pop , XO , Pop  ","Guy-Manuel de Homem-Christo, Thomas Bangalter, DaHeala & 3 more","Starboy Lyrics



[Verse 1]
I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb’ just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch out your league too, ah
Side bitch out of your league too, ah

[Pre-Chorus]
House so empty, need a centerpiece
20 racks a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

[Chorus]
Look what you've done
I’m a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy

[Verse 2]
Every day a nigga try to test me, ah
Every day a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Coming for the king, that's a far cry, ah
I come alive in the fall time, I
No competition, I don't really listen
I’m in the blue Mulsanne bumping New Edition

[Pre-Chorus]
House so empty, need a centerpiece
20 racks a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking bout me, I don’t see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

[Chorus]
Look what you've done
I’m a motherfuckin' starboy
Look what you've done
I'm a motherfuckin’ starboy

[Verse 3]
Let a nigga brag Pitt
Legend of the fall took the year like a bandit
Bought mama a crib and a brand new wagon
Now she hit the grocery shop looking lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
100 on the dash get me close to God
We don't pray for love, we just pray for cars

[Pre-Chorus]
House so empty, need a centerpiece
20 racks a table cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face man I love my baby
You talking money, need a hearing aid
You talking 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

[Chorus]
Look what you've done
I'm a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy
Look what you've done
I'm a motherfuckin' starboy




"
20,Khalid,Location,21,"April 30, 2016"," RCA , R&B  ","Smash David, Alfredo Gonzalez, Taz Taylor & 3 more","Location Lyrics



[Chorus]
Send me your location, let's
Focus on communicating
'Cause I just need the time and place to come through (place to come through)
Send me your location
Let's ride the vibrations
I don't need nothing else but you

[Verse 1]
At times I wonder why I fool with you
But this is new to me, this is new to you
Initially, I didn't wanna fall for you
Gather my attention it was all for you, so don't
Take advantage, don't leave my heart damaged
To understand that things go a little bit better when you plan it... oh

[Chorus]
Send me your location, let's
Focus on communicating
'Cause I just need the time and place to come through (place to come through)
Send me your location
Let's ride the vibrations
I don't need nothing else but you

[Verse 2]
I don't wanna fall in love off of subtweets, so
Let's get personal
I got a lot of cool spots that we can go
Tell me what's the move and I got you
I'm only acting like this 'cause I like you
Just give me the vibe to slide then
Oh, I might make you mine by the night, and

[Chorus]
Send me your location, let's
Focus on communicating
'Cause I just need the time and place to come through (place to come through)
Send me your location
Let's ride the vibrations
I don't need nothing else but you

[Outro]
Ride, ride, ride, come and vibe with me tonight
I don't need nothing else but you
(I don't need nothing else but you)
Ride, ride, ride, come and vibe with me tonight
I don't need nothing else but you
Nothing else but you
Do, do, do, do, do, do
Oh, oh, mmm, mmm, mmm, mmm
Oh, oh, oh
Oh, oh, oh, mmm, mmm, mmm
Do, do, do, do, do, do, do
Do, do, do, do, do, do, do
I don't need nothing else but you




"
21,Charlie Puth,Attention,22,"April 21, 2017", Pop  ,Jacob Kasher & Charlie Puth,"Attention Lyrics



[Intro]
Woah-oah, hm-hmm

[Verse 1]
You've been runnin' 'round, runnin' 'round, runnin' 'round
Throwin' that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd
Call you up
You've been going 'round, going 'round, going 'round
Every party in LA
'Cause you knew that I, knew that I, knew that I'd
Be at one, oh

[Pre-Chorus]
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine, ooh
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight

[Chorus]
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you, oh

[Verse 2]
You've been runnin' 'round, runnin' 'round, runnin' 'round
Throwin' that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd
Call you up
Baby, now that we're, now that we're, now that we're
Right here standin' face to face
You already know, 'ready know, 'ready know
That you won, oh

[Pre-Chorus]
I know that dress is karma (dress is karma), perfume regret, yeah
You got me thinking 'bout when you were mine, ooh
(You got me thinking 'bout when you were mine)
And now I'm all up on ya (all up on ya), what you expect? (oh baby)
But you're not coming home with me tonight, oh no

[Chorus]
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new (-one new)
Yeah, you just want attention (oh), I knew from the start (the start)
You're just making sure I'm never gettin' over you (over you), oh

[Bridge]
What are you doin' to me?
What are you doin', huh? (What are you doin'?)
What are you doin' to me?
What are you doin', huh? (What are you doin'?)
What are you doin' to me?
What are you doin', huh? (What are you doin'?)
What are you doin' to me?
What are you doin', huh?

[Pre-Chorus]
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight

[Chorus]
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you (over you)

[Bridge]
What are you doin' to me? (Hey)
What are you doin', huh? (What are you doin', love?)
What are you doin' to me?
What are you doin', huh? (Yeah, you just want attention)
What are you doin' to me? (I knew from the start)
What are you doin' huh? (You're just making sure I'm never gettin' over you)
What are you doin' to me?
What are you doin', huh?




"
22,Shawn Mendes,There's Nothing Holdin' Me Back,23,"April 20, 2017"," Latin Pop , Dance , Alternative Pop , Pop-Rock ,  Canada , Pop  ","Geoff Warburton, Scott Harris, Teddy Geiger & 1 more","There's Nothing Holdin' Me Back Lyrics



[Verse 1]
I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'Cause everytime that she gets close, yeah

[Pre-Chorus]
She pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

[Chorus]
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

[Verse 2]
She says that she's never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation

[Pre-Chorus]
Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

[Chorus]
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back

[Bridge]
'Cause if we lost our minds and we took it way too far
I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright
'Cause if we lost our minds and we took it way too far
I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright

[Chorus]
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby
Baby, there's nothing holding me back




"
23,Cardi B,Bodak Yellow,24,"June 16, 2017"," New York , Bronx , Atlantic Records , Trap , Rap  ","Jordan Thorpe, Laquan Green, Kodak Black & 3 more","Bodak Yellow Lyrics



[Intro]
KSR
It's Cardi, ayy
Said, ""I'm the shit, they can't fuck with me if they wanted to""

[Chorus]
Said, ""Lil bitch, you can't fuck with me if you wanted to""
These expensive, these is red bottoms, these is bloody shoes
Hit the store, I can get 'em both, I don't wanna choose
And I'm quick, cut a nigga off, so don't get comfortable, look
I don't dance now, I make money moves
Say I don't gotta dance, I make money move
If I see you and I don't speak, that means I don't fuck with you
I'm a boss, you a worker, bitch, I make bloody moves

[Verse 1]
Now she say she gon' do what to who? Let's find out and see
Cardi B, you know where I'm at, you know where I be
You in the club just to party, I'm there, I get paid a fee
I be in and out them banks so much, I know they're tired of me
Honestly, don't give a fuck 'bout who ain't fond of me
Dropped two mixtapes in six months, what bitch working as hard as me?
I don't bother with these hoes, don't let these hoes bother me
They see pictures, they say, ""Goals,"" bitch, I'm who they tryna be
Look, I might just chill in some BAPE, I might just chill with your boo
I might just feel on your babe, my pussy feel like a lake
He wanna swim with his face, I'm like, ""Okay""
I'll let him get what he want, he buy me Yves Saint Laurent
And the new whip, when I go fast as a horse, I got the trunk in the front
I'm the hottest in the street, know you prolly heard of me
Got a bag and fixed my teeth, hope you hoes know it ain't cheap
And I pay my mama bills, I ain't got no time to chill
Think these hoes be mad at me, their baby father run a bill

[Chorus]
Said, ""Lil bitch, you can't fuck with me if you wanted to""
These expensive, these is red bottoms, these is bloody shoes
Hit the store, I can get 'em both, I don't wanna choose
And I'm quick, cut a nigga off, so don't get comfortable, look
I don't dance now, I make money moves
Say I don't gotta dance, I make money move
If I see you and I don't speak, that means I don't fuck with you
I'm a boss, you a worker, bitch, I make bloody moves

[Verse 2]
If you a pussy, you get popped, you a goofy, you a opp
Don't you come around my way, you can't hang around my block
And I just checked my accounts, turns out, I'm rich, I'm rich, I'm rich
I put my hand above my hip, I bet you dip, he dip, she dip
I say I get the money and go, this shit is hot like a stove
My pussy glitter is gold, tell that lil bitch play her role
I just arrove in a Rolls, I just came up in a Wraith
I need to fill up the tank, no, I need to fill up the safe
I need to let all these hoes know that none of their niggas is safe
I go to dinner and steak, only the real can relate
I used to live in the P's, now it's a crib with a gate
Rollie got charms, look like Frosted Flakes
Had to let these bitches know, just in case these hoes forgot
I just run and check the mail, another check from Mona Scott

[Chorus]
Said, ""Lil bitch, you can't fuck with me if you wanted to""
These expensive, these is red bottoms, these is bloody shoes
Hit the store, I can get 'em both, I don't wanna choose
And I'm quick, cut a nigga off, so don't get comfortable, look
I don't dance now, I make money moves
Say I don't gotta dance, I make money move
If I see you and I don't speak, that means I don't fuck with you
I'm a boss, you a worker, bitch, I make bloody moves




"
24,Childish Gambino,Redbone,25,"November 17, 2016"," Adult Alternative , Pop  , Soul Pop , Neo Soul , Memes , Neo-Psychedelia , Soul , R&B  ",Childish Gambino,"Redbone Lyrics



[Verse 1]
Daylight
I wake up feeling like you won't play right
I used to know, but now that shit don't feel right
It made me put away my pride
So long
You made a nigga wait for some, so long
You make it hard for boy like that to go on
I'm wishing I could make this mine, oh

[Pre-Chorus]
If you want it, yeah
You can have it, oh, oh, oh
If you need it, ooh
We can make it, oh
If you want it
You can have it

[Chorus]
But stay woke
Niggas creepin'
They gon' find you
Gon' catch you sleepin' (ooh)
Now stay woke
Niggas creepin'
Now don't you close your eyes

[Verse 2]
Too late
You wanna make it right, but now it's too late
My peanut butter chocolate cake with Kool-Aid
I'm trying not to waste my time

[Pre-Chorus]
If you want it, oh
You can have it, you can have it
If you need it
You better believe in something
We can make it
If you want it
You can have it, ah!

[Chorus]
But stay woke (stay woke!)
Niggas creepin' (they be creepin')
They gon' find you (they gon' find you)
Gon' catch you sleepin' (Gon' catch you sleepin', put your hands up now baby)
Ooh, now stay woke
Niggas creepin'
Now, don't you close your eyes
But stay woke, ooh
Niggas creepin' (they gon' find you!)
They gon' find you
Gon' catch you sleepin', ooh
Now stay woke
Niggas creepin'
Now, don't you close your eyes

[Outro]
How'd it get so scandalous?
How'd it get so scandalous?
(Oh, oh, baby you, how'd it get...)
How'd it get so scandalous?
How'd it get so scandalous?
But stay woke
But stay woke




"
25,"Zayn, Taylor Swift",I Don't Wanna Live Forever,26,"December 9, 2016"," R&B  , Screen  , Soundtrack , Pop  ","ZAYN, Sam Dew, Taylor Swift & 1 more","I Don't Wanna Live Forever Lyrics



[Verse 1: ZAYN]
Been sitting eyes wide open behind these four walls, hoping you'd call
It's just a cruel existence like it's no point hoping at all

[Pre-Chorus 1: ZAYN]
Baby, baby, I feel crazy
Up all night, all night and every day
Give me something, oh, but you say nothing
What is happening to me?

[Chorus: ZAYN]
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home

[Verse 2: Taylor Swift]
I'm sitting eyes wide open and I got one thing stuck in my mind
Wondering if I dodged a bullet or just lost the love of my life

[Pre-Chorus 2: Taylor Swift]
Baby, baby, I feel crazy
Up all night, all night and every day
I gave you something, but you gave me nothing
What is happening to me?

[Chorus: ZAYN & (Taylor Swift)]
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit (fit, babe) wherever (wherever)
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home

[Bridge: Taylor Swift, ZAYN & Both]
I've been looking sad in all the nicest places
Baby, baby, I feel crazy
I see you around in all these empty faces
Up all night, all night and every day
I've been looking sad in all the nicest places
Give me something, oh, but you say nothing
Now I'm in a cab, I tell 'em where your place is
What is happening to me?

[Chorus: ZAYN]
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home
I just wanna keep calling your name until you come back home

[Outro: Taylor Swift & ZAYN]
I just wanna keep calling your name until you come back home
Until you come back home




"
26,"Kygo, Selena Gomez",It Ain't Me,27,"February 16, 2017"," Electro-Pop , Tropical House , Electronic , Dance-Pop , Dance , Pop  ","Brian Dong Ho Lee, ?watt, Kygo & 2 more","It Ain't Me Lyrics



[Verse 1: Selena Gomez]
I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough

[Pre-Chorus: Selena Gomez]
No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own

[Chorus: Selena Gomez]
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?

[Drop: Selena Gomez & Kygo]
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me

[Verse 2: Selena Gomez]
I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us

[Chorus: Selena Gomez]
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?

[Drop: Selena Gomez & Kygo]
It ain't me, no no
It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful




"
27,"KYLE, Lil Yachty",iSpy,28,"December 1, 2016"," Quality Control Music , Atlantic Records , Pop  , Trap , Atlanta , Rap  ","Lege Kale, SuperDuperBrick, Joshua Portillo & 2 more","iSpy Lyrics



[Intro: Kyle & Lil Yachty]
Man, fuck
What's wrong Kyle?
Man, these kids, man, talkin' shit, makin' me feel bad
Man, fuck them kids, bro! Look around, bro, look at life
Man, you're right
Mmm, you see? You see these fine bitches over here?
Yeah, woah…
You see these trees man? You see this water?
I guess it is okay
Come on, man, you got so much more to appreciate, man
Man you know what, y-you're right…
You damn right I'm right, I can't remember a time I was god-damn wrong
Man, thanks, Lil' Boat
Hey man, that's what I'm here for

[Verse 1: Kyle]
I ain't been gettin' high
Well maybe a little, baby, I don't wanna lie
I know when you text me, girl, I don't always reply
Well you're not an angel either, you can't even fly
I noticed, you think that you know shit
All this shade that's comin' at me, I wonder who throws it
They can't see the vision, boy they must be out of focus
That's a real hot album homie, I wonder who wrote it, oh shit
Otay, pray them niggas go away
Always hella clowns around, it look like Cirque Du Soleil
This is not the album either, these are just the throwaways
This shit still so cold when it drop, it's gonna be a mothafuckin' snow day
Ayy, boy is good and he knows it, he don't say it, he shows it
I'm just like DeRozan, if I shoot it, it goes in
I'm in Cali just coastin', get 'em so wet they need coasters (facts)
I got a selfie with Oprah (facts), I just ain't never post it
And I'm in my happy place posted, I ain't frowned since '06
I ain't cried since '01, my pad like Six Flags and your house is no fun
You can come back to mine though
Your friend ain't cute, but it's fine though
We gon' end on a high note

[Chorus: Kyle]
I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind
Oh, I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind

[Post-Chorus: Kyle]
Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I...

[Verse 2: Lil Yachty]
She said she 21, I might have to I.D. that
All my bitches come in pairs like balls in my nutsack
I remember ridin' around the city in a Hatchback
Lookin' for a problem with my young goblins
I'ma send a model home with her neck throbbin'
I done made so much money that it's non-stoppin'
Got my brothers on my back like the last name
I remember tellin' everyone I couldn't be tamed
Woah, six months later I had snapped and now I'm in the game
Went from fake chains to diamonds in another lane
Went from ""Can you take me here?"" to screenin' out the lane
Went from ""Damn this nigga lame"" to remember my name
So I remember all the people who ain't fucked with me
They went to college, now all them niggas is history
Upgraded from gold to diamonds in my teeth
Ridin' deep in the van, like we lookin' for a mystery (Raggy!)
So don't fuck with me
No, lately I been livin' like luxury
Boat and Kyle stick together like piano keys
And on my mother's mother I won't fuck a bitch without a damn rubber

[Chorus: Kyle]
I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind
Oh, I...I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind

[Post-Chorus: Kyle]
Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I...




"
28,Julia Michaels,Issues,29,"January 13, 2017", Pop  ,"Julia Michaels, Justin Tranter, ?benny blanco & 1 more","Issues Lyrics



[Verse 1]
I'm jealous, I'm overzealous
When I'm down, I get real down
When I'm high, I don't come down
But I get angry, baby, believe me
I could love you just like that
And I could leave you just this fast

[Pre-Chorus]
But you don't judge me
'Cause if you did, baby, I would judge you too
No, you don't judge me
'Cause if you did, baby, I would judge you too

[Chorus]
'Cause I got issues
But you got 'em too
So give 'em all to me
And I'll give mine to you
Bask in the glory
Of all our problems
'Cause we got the kind of love
It takes to solve 'em

Yeah, I got issues
And one of them is how bad I need you

[Verse 2]
You do shit on purpose
You get mad and you break things
Feel bad, try to fix things
But you're perfect
Poorly wired circuit
And got hands like an ocean
Push you out, pull you back in

[Pre-Chorus]
'Cause you don't judge me
'Cause if you did, baby, I would judge you too
No, you don't judge me
'Cause you see it from the same point of view

[Chorus]
'Cause I got issues
But you got 'em too
So give 'em all to me
And I'll give mine to you
Bask in the glory
Of all our problems
'Cause we got the kind of love
It takes to solve 'em

Yeah, I got issues
And one of them is how bad I need you

[Bridge]
(I got issues, you got 'em too)
And one of them is how bad I need you
(I got issues, you got 'em too)

[Chorus]
'Cause I got issues
(I got)
But you got 'em too
So give 'em all to me
(You got 'em too)
And I'll give mine to you
Bask in the glory
(I got issues)
Of all our problems
'Cause we got the kind of love
(You got 'em too)
It takes to solve 'em

Yeah, I got issues (I got)
And one of them is how bad I need you (You got 'em too)
Yeah, I got issues (I got issues)
And one of them is how bad I need you (You got 'em too)
Yeah, I got issues (I got)
And one of them is how bad I need you




"
